2025-09-18T12:56:22.738Z INFO  [LOGGER] Migration logger initialized | {"logFile":"D:\\Websites\\vostudiofinder\\migration-scripts\\logs\\migration-2025-09-18T12-56-22-737Z.log"}
2025-09-18T12:56:22.842Z INFO  [PHASE] 🚀 Starting Database Cleanup | {"description":"Removing all existing data while preserving schema"}
2025-09-18T12:56:23.408Z INFO  [CLEANUP] Initial Database Counts | {"users":62,"user_profiles":62,"user_metadata":2442,"accounts":0,"sessions":0,"studios":62,"studio_images":175,"studio_services":27,"reviews":0,"review_responses":0,"messages":0,"user_connections":194,"subscriptions":0,"saved_searches":0,"pending_subscriptions":0,"refunds":0,"notifications":0,"content_reports":0}
2025-09-18T12:56:23.410Z INFO  [CLEANUP] Deleting data in dependency order...
2025-09-18T12:56:23.411Z INFO  [CLEANUP] Deleting all records from review_responses...
2025-09-18T12:56:23.490Z WARN  [CLEANUP] Could not get count for review_responses | {"error":"\nInvalid `prisma.$queryRaw()` invocation:\n\n\nRaw query failed. Code: `42601`. Message: `ERROR: syntax error at or near \"$1\"`"}
2025-09-18T12:56:23.491Z INFO  [CLEANUP] review_responses is already empty
2025-09-18T12:56:23.492Z INFO  [CLEANUP] Deleting all records from reviews...
2025-09-18T12:56:23.510Z WARN  [CLEANUP] Could not get count for reviews | {"error":"\nInvalid `prisma.$queryRaw()` invocation:\n\n\nRaw query failed. Code: `42601`. Message: `ERROR: syntax error at or near \"$1\"`"}
2025-09-18T12:56:23.511Z INFO  [CLEANUP] reviews is already empty
2025-09-18T12:56:23.512Z INFO  [CLEANUP] Deleting all records from studio_services...
2025-09-18T12:56:23.524Z WARN  [CLEANUP] Could not get count for studio_services | {"error":"\nInvalid `prisma.$queryRaw()` invocation:\n\n\nRaw query failed. Code: `42601`. Message: `ERROR: syntax error at or near \"$1\"`"}
2025-09-18T12:56:23.524Z INFO  [CLEANUP] studio_services is already empty
2025-09-18T12:56:23.525Z INFO  [CLEANUP] Deleting all records from studio_images...
2025-09-18T12:56:23.540Z WARN  [CLEANUP] Could not get count for studio_images | {"error":"\nInvalid `prisma.$queryRaw()` invocation:\n\n\nRaw query failed. Code: `42601`. Message: `ERROR: syntax error at or near \"$1\"`"}
2025-09-18T12:56:23.541Z INFO  [CLEANUP] studio_images is already empty
2025-09-18T12:56:23.542Z INFO  [CLEANUP] Deleting all records from notifications...
2025-09-18T12:56:23.554Z WARN  [CLEANUP] Could not get count for notifications | {"error":"\nInvalid `prisma.$queryRaw()` invocation:\n\n\nRaw query failed. Code: `42601`. Message: `ERROR: syntax error at or near \"$1\"`"}
2025-09-18T12:56:23.555Z INFO  [CLEANUP] notifications is already empty
2025-09-18T12:56:23.556Z INFO  [CLEANUP] Deleting all records from messages...
2025-09-18T12:56:23.569Z WARN  [CLEANUP] Could not get count for messages | {"error":"\nInvalid `prisma.$queryRaw()` invocation:\n\n\nRaw query failed. Code: `42601`. Message: `ERROR: syntax error at or near \"$1\"`"}
