User ID,Studio Profile ID,Classification,Completeness Score,Reasons,Recommended Action,Metadata
ciczq7c9poqsgnalf9ub6pw2,smrid2p93ffjiumc0g8b9cr6,NEEDS_UPDATE,90,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
ysfml9frdkuc8p8f83q5ugv6,mh3yha5g9nsywwzpftw4k2if,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
xgolglsrsq0wfhce6i6x4gij,miyrwg53204wjzd0s14xyzr9,NEEDS_UPDATE,75,"Missing key fields: phone, services; URL issues: twitter_url should be migrated to x_url",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""phone"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
urhq8ljwr88qs7lqnqz5sucx,cmfpsfpwu0001zjd08k1nvav6,NEEDS_UPDATE,80,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
czo44ksskmwgtl5g33sclde3,jm949nplo8c3d0txdl8kx6pg,EXCEPTION,55,"Missing key fields: coordinates, website, services; URL issues: twitter_url should be migrated to x_url; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""],""geodata_issue"":""address_no_coords""}"
aets9e1uoufe982q0jju5bdf,h4lnc90ylhlbvaf4ylddt9yf,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
twq8pq5y4kuvcyysrz8p4feb,cmfpsfpxm0003zjd0qmirzef0,EXCEPTION,55,"Missing key fields: coordinates, services; URL issues: twitter_url should be migrated to x_url; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""],""geodata_issue"":""address_no_coords""}"
l07mft1so6gelvs9mt2wz8s9,zwoguxmcgrvkgh7yasehqxvn,JUNK,75,"Potential test account (name/email contains ""test"")",Manual review - possible test account,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true}"
ar6p03bhq90jbgzc9b2wkaq5,in9nr3w0zcxwwn1i1y4c2mbx,NEEDS_UPDATE,80,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
p6ug2dco36m68kvq1rc45lo9,cff2wcqjjv3gu1mkc1aglsdw,NEEDS_UPDATE,75,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
